kod,ilk_islem_tarihi,halka_arz_fiyati,acilis_tavan_serisi,en_uzun_seri_hesaplanan,toplam_tavan_gunu,ilk_gun_getiri_yuzde,ilk_gun_fiyat_guvenilir,islem_gunu_sayisi
AVPGY,21 Aralık 2023,55.08,0,1,1,-9.95,1,30
MEGMT,15 Aralık 2023,28.3,1,3,8,9.96,1,30
KBORU,14 Aralık 2023,36.2,4,5,17,10.0,1,30
SURGY,14 Aralık 2023,49.18,1,1,3,9.9,1,30
CATES,7 Aralık 2023,57.15,4,4,9,9.97,1,30
SKYMD,6 Aralık 2023,7.0,6,6,8,10.0,1,30
BEGYO,8 Aralık 2023,3.0,4,4,10,10.0,1,30
AGROT,23 Kasım 2023,5.21,10,10,11,9.98,1,30
EKOS,21 Kasım 2023,12.77,13,13,13,9.95,1,30
BINHO,20 Kasım 2023,125.0,9,9,13,10.0,1,30
MARBL,8 Kasım 2023,10.97,7,7,8,9.94,1,30
TABGD,26 Ekim 2023,130.0,4,4,5,10.0,1,30
VRGYO,27 Ekim 2023,15.78,4,4,8,9.95,1,30
MHRGY,18 Ekim 2023,4.3,6,6,6,10.0,1,30
BORLS,19 Ekim 2023,25.29,5,5,6,10.0,1,30
DOFER,16 Ekim 2023,17.11,11,11,12,9.99,1,30
MEKAG,12 Ekim 2023,25.0,12,12,15,10.0,1,30
DMRGD,29 Eylül 2023,10.24,8,8,8,9.96,1,30
ADGYO,20 Eylül 2023,22.66,5,5,7,9.97,1,30
HATSN,22 Eylül 2023,22.6,13,13,14,10.0,1,30
REEDR,21 Eylül 2023,9.3,10,10,10,10.0,1,30
GIPTA,14 Eylül 2023,20.9,6,6,9,9.95,1,30
TARKM,12 Eylül 2023,107.5,16,16,22,9.95,1,30
EBEBK,7 Eylül 2023,46.5,6,6,7,10.0,1,30
KZGYO,29 Ağustos 2023,20.76,9,9,10,9.92,1,30
BYDNR,21 Ağustos 2023,21.0,3,9,13,10.0,1,30
ENERY,23 Ağustos 2023,88.76,10,10,12,9.96,1,30
TATEN,17 Ağustos 2023,22.5,14,14,15,9.96,1,30
OFSYM,16 Ağustos 2023,27.2,15,15,16,10.0,1,30
IZENR,16 Ağustos 2023,19.0,14,14,16,10.0,1,30
ASGYO,3 Ağustos 2023,12.6,5,5,11,10.0,1,30
KLSER,27 Temmuz 2023,25.0,11,11,19,10.0,1,30
FZLGY,28 Temmuz 2023,8.9,5,5,13,10.0,1,30
ATAKP,27 Temmuz 2023,39.5,6,6,11,9.97,1,30
FORTE,14 Haziran 2023,12.12,8,12,22,9.98,1,30
A1CAP,15 Haziran 2023,25.0,3,3,6,10.0,1,30
PASEU,14 Haziran 2023,25.0,4,4,12,10.0,1,30
KTLEV,12 Haziran 2023,13.43,2,2,7,9.98,1,30
BIENY,18 Mayıs 2023,42.8,0,0,0,0.37,1,30
KAYSE,18 Mayıs 2023,16.27,0,0,0,6.64,1,30
BIGCH,10 Mayıs 2023,22.5,1,1,1,9.96,1,30
CWENE,5 Mayıs 2023,108.6,2,2,3,9.94,1,30
GRTHO,26 Nisan 2023,17.6,6,6,8,10.0,1,30
EUPWR,20 Nisan 2023,40.6,7,7,11,10.0,1,30
CVKMD,13 Nisan 2023,105.0,5,5,7,10.0,1,30
KOPOL,13 Nisan 2023,24.5,5,5,7,9.96,1,30
EKSUN,24 Mart 2023,48.9,7,7,7,9.92,1,30
AKFYE,16 Mart 2023,9.8,8,8,9,10.0,1,30
GOKNR,9 Mart 2023,11.0,8,8,10,10.0,1,30
BVSAN,6 Şubat 2023,31.0,4,4,11,10.0,1,30
MACKO,26 Ocak 2023,38.0,8,8,9,10.0,1,30
ASTOR,18 Ocak 2023,12.5,9,9,14,10.0,1,30
TNZTP,11 Ocak 2023,10.21,3,3,8,9.99,1,30
SOKE,12 Ocak 2023,7.5,11,11,12,10.0,1,30
ARMGD,3 Ocak 2025,40.0,0,0,0,0.05,1,30
SMRVA,18 Aralık 2024,22.0,1,1,2,10.0,1,30
CGCAM,17 Aralık 2024,20.0,3,3,10,10.0,1,30
BINBN,9 Ekim 2024,91.85,0,1,1,0.16,1,30
DURKN,17 Eylül 2024,17.0,3,3,5,10.0,1,30
CEMZY,9 Eylül 2024,15.3,3,3,3,10.0,1,30
OZATD,5 Eylül 2024,105.0,5,5,6,10.0,1,30
AHSGY,29 Ağustos 2024,25.2,0,1,1,1.43,1,30
GUNDG,22 Ağustos 2024,35.0,7,7,8,10.0,1,30
TCKRC,21 Ağustos 2024,24.0,3,3,5,10.0,1,30
BAHKM,13 Ağustos 2024,51.0,5,5,7,10.0,1,30
DCTTR,31 Temmuz 2024,14.0,6,6,8,10.0,1,30
SEGMN,4 Temmuz 2024,30.0,0,1,1,-9.33,1,30
EFOR,5 Temmuz 2024,14.5,0,4,4,2.55,1,30
HOROZ,7 Haziran 2024,55.0,0,1,1,-1.91,1,30
